"","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"4404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4405",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"4406",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"4501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4503",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"4504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4602",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"4603",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"4604",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"4605",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"4606",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"4607",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"4608",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"4609",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"4610",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"4611",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"4612",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"4613",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"4701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4802",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"4803",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"4804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"4806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
