"","min_temp"
"3306",-0.284517805576303
"3307",-4.06921934366224
"3308",-9.14853682994841
"3309",-1.60674734052268
"3310",-5.07474854469297
"3401",-5.43288357734678
"3402",-5.38425491333006
"3403",-6.48163922309873
"3404",-7.08219111442564
"3405",-9.57904356002806
"3406",-9.57466800689696
"3407",-8.32960837364195
"3601",-3.82374464750288
"3602",-0.720426176786401
"3603",-3.5842945384979
"3604",-2.38785108208654
"3701",-3.65806463241575
"3702",-3.93128595829008
"3703",-5.03227115154264
"3704",-5.62419679641722
"3705",-4.5934178638458
"3706",-6.03394408702848
"3707",-3.82819450378416
"3708",-5.2123875904083
"3901",-0.943495013117769
"3902",-8.53831260681151
"3903",-6.76793616294858
"3904",-5.40589652538298
"3905",-4.36468909263609
"3906",-7.9561152744293
"4001",-5.31320896625517
"4002",-6.83235371589659
"4003",-7.40938189506529
"4101",-0.486109892576912
"4102",0.288682608008406
"4103",0.105270735621474
"4104",1.31291351437571
"4105",0.0125981551408982
"4106",-0.495277318656423
"4107",-1.36918413519857
"4201",-9.57314985275267
"4202",-9.27969611167906
"4203",-6.84813647747038
"4204",-7.83362412929533
"4205",-6.97133582115172
"4206",-6.45383308410643
"4207",-6.77681413173674
"4301",-3.68422219038008
"4308",-2.11575229942796
"4309",-1.11681938052175
"4312",-1.8683922934532
"4316",-5.25370195388792
"4322",-0.73588023662565
"4329",-3.60687611579893
"4330",-2.61557008504865
"4336",-0.975883497223236
"4337",-3.33398616790769
"4401",-7.53981516838072
"4402",-7.0584995794296
"4403",-3.79478509902952
"4404",-9.4173288631439
"4405",-7.67475693702696
"4406",-7.92354953765867
"4501",-3.17225747585295
"4502",-3.78549925565717
"4503",-3.93537159442899
"4504",-3.68539836883543
"4505",-4.23191133022306
"4506",-4.58000126361845
"4507",-4.40279956340788
"4601",-7.60918109893797
"4602",-5.04155958175657
"4603",-1.80381980419157
"4604",-5.00674006223677
"4605",-3.52449261426924
"4606",0.0563742589950778
"4607",0.408135647773764
"4608",-1.53094128381459
"4609",0.470843477249167
"4610",-5.67750070571898
"4611",-4.57004478454588
"4612",-3.91511221408842
"4613",-3.10413944005964
"4701",-5.34943376064298
"4702",-5.08390520095823
"4703",-4.75980339527128
"4704",-5.14042149066923
"4801",-2.18169790089128
"4802",-0.3974850836396
"4803",-3.08635640621183
"4804",-2.82583427309988
"4805",0.764891011714957
"4806",-0.54313303709028
"4807",1.71876511096956
"4901",-5.57369373321531
"4902",-4.41713483810423
"4903",-4.26266408443449
"4904",-4.70684442996977
"4905",-3.75128356695173
"4906",-4.83127270221708
"5001",-4.54847691535948
"5002",-4.5159919786453
"5003",-5.81823194503782
"5004",-4.3008365678787
"5005",-3.3857886123657
"5006",-6.17193608760832
"5007",-2.43402904152868
