CO_COMARCA,out
1805,2.383473283116913e-7
1806,1.2232975793244164e-7
1807,8.162866180277682e-8
1808,1.3883644297719348e-7
1809,1.3631854407760625e-7
1810,1.128695268948413e-7
1901,1.1853865166583184e-5
1902,9.451865743956464e-6
1903,1.7215273301833944e-5
1904,4.001826653684839e-5
1905,2.15472832503403e-5
2001,4.27888922124743e-5
2002,1.3069206734213952e-5
2003,9.854701912682619e-6
2004,3.842875320778389e-5
2005,1.364491867114387e-5
2006,1.9533724545919427e-5
2007,1.8053325934457997e-5
2101,9.005442726617738e-9
2102,4.057945961550869e-9
2103,7.506372779219709e-9
2104,6.262632590677231e-9
2105,8.633199862573367e-9
2106,7.640184480751302e-9
2201,0.00011677952726957344
2202,2.3895759279568294e-8
2203,0.001232812610267191
2204,0.0007041127490082825
2205,0.0016208241133488378
2206,0.001547485581344313
2207,0.0032366849952253736
2208,0.0032768835498585597
2301,6.512909413422229e-7
2302,1.3585680617259075e-6
2303,1.7459988183224274e-6
2304,5.152425273897568e-7
2305,9.651247054324281e-7
2306,3.5645536095087125e-7
2307,4.304354147994374e-7
2308,7.469528590884638e-7
2309,2.109673923605442e-7
2401,1.8356255649884564e-8
2402,2.463054262037927e-8
2403,8.775109330492245e-8
2404,2.133331388024338e-8
2405,5.1401605494108195e-8
2406,1.3782156694284642e-7
2407,8.778695924671377e-8
2408,1.3730359414386524e-7
2409,2.1749990561711894e-7
2410,3.133010877059344e-7
2503,7.428024136003962e-11
2504,0.0024043304079676593
2505,4.597335968053182e-16
2510,0.007927295071632026
2514,2.7224122563168895e-8
2515,2.1013606167086799e-10
2518,0.007428176487774577
2523,0.007049836920749187
2525,0.0022969875649664017
2526,1.1063320521657003e-14
2527,0.009595223776076476
2532,0.011309088447516496
2533,0.007118928946211336
2535,0.0067428481042667255
2538,0.010583373127674423
2539,6.69528215474218e-20
2601,5.933624824160035e-6
2602,3.523516644108103e-6
2603,1.4524128729287199e-5
2604,8.248384996011938e-6
2605,4.359652817234625e-5
2606,2.283904798798615e-5
2701,5.157365743692483e-9
2702,3.008015983000383e-9
2703,3.3985055141831137e-9
2704,6.2541488932452584e-9
2705,4.998529060929958e-9
2801,4.114176997251269e-6
2802,3.0010484521355987e-6
2803,1.2617252541283006e-5
2804,1.1301592920945566e-5
2805,6.069261003989669e-6
2806,9.195737486784245e-6
2901,4.4810448909462e-8
2902,1.2061248684934223e-8
2903,3.4315289553289746e-8
2904,9.069218269737682e-8
3001,1.7336430569484405e-5
3002,4.082315105123948e-6
3003,6.970514030470596e-6
3004,1.8210840224027138e-5
3005,5.452190284855434e-6
3006,1.4142792345546968e-5
3101,2.1945827108544683e-5
3102,4.308747194085284e-5
3103,4.906020173512325e-5
3104,2.258564619457206e-5
3105,6.88566726866277e-5
3106,6.82062177302599e-5
3107,0.0001235771286125845
3201,2.871586247562942e-9
3202,8.249189832928432e-9
3203,4.487201342549706e-9
3301,7.269368222018818e-9
3302,1.3567221723543171e-8
3303,9.693365505447413e-9
